epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,22685.6,0.78155,0.40782,0.86957,0.9014,0.80676,0.91176,0.64698,1.11553,0.66867,1.02722,0.003763,0.003763,0.003763
65,23031.2,0.77472,0.40454,0.86927,0.90405,0.8052,0.91218,0.64722,1.11919,0.67029,1.02897,0.003664,0.003664,0.003664
66,23363.6,0.77424,0.40321,0.86861,0.89681,0.81259,0.91342,0.64802,1.11873,0.6671,1.02793,0.003565,0.003565,0.003565
67,23684.3,0.77076,0.4021,0.86789,0.89255,0.81297,0.91369,0.6485,1.1188,0.66878,1.02811,0.003466,0.003466,0.003466
68,24004.9,0.77139,0.40145,0.86735,0.88759,0.81477,0.91352,0.64781,1.11973,0.66934,1.02965,0.003367,0.003367,0.003367
69,24329,0.76664,0.4006,0.86719,0.88997,0.81363,0.91453,0.6487,1.11898,0.66326,1.02994,0.003268,0.003268,0.003268
70,24657.2,0.76604,0.39922,0.86674,0.90281,0.80849,0.91648,0.65087,1.11383,0.65425,1.02765,0.003169,0.003169,0.003169
71,24979.7,0.76109,0.39679,0.86575,0.89999,0.81058,0.91665,0.65089,1.11428,0.65276,1.02806,0.00307,0.00307,0.00307
72,25364.3,0.76223,0.39637,0.86524,0.89831,0.81232,0.91678,0.65112,1.11391,0.65341,1.02767,0.002971,0.002971,0.002971
73,25758.7,0.75532,0.39295,0.86463,0.89763,0.81235,0.91691,0.65049,1.11567,0.65311,1.02856,0.002872,0.002872,0.002872
74,26173.2,0.75411,0.39327,0.86427,0.89687,0.81322,0.91671,0.65099,1.11561,0.65473,1.02762,0.002773,0.002773,0.002773
75,26588.6,0.75275,0.39184,0.86445,0.89868,0.81167,0.91657,0.65137,1.11405,0.65477,1.02728,0.002674,0.002674,0.002674
76,26995.8,0.75098,0.3916,0.86338,0.89583,0.81586,0.91718,0.65189,1.11344,0.6534,1.027,0.002575,0.002575,0.002575
77,27375.3,0.74805,0.38973,0.86246,0.8945,0.81896,0.91796,0.65285,1.11241,0.65119,1.02675,0.002476,0.002476,0.002476
78,27736.8,0.74547,0.38749,0.86215,0.89284,0.82036,0.91779,0.65285,1.11254,0.65043,1.02705,0.002377,0.002377,0.002377
79,28085.5,0.74177,0.38703,0.86132,0.89623,0.8174,0.9176,0.6527,1.1123,0.64988,1.0268,0.002278,0.002278,0.002278
80,28457.8,0.73984,0.38461,0.86061,0.89727,0.81547,0.91704,0.65263,1.11377,0.65154,1.02746,0.002179,0.002179,0.002179
81,28835.9,0.73778,0.38373,0.86071,0.89758,0.81625,0.91711,0.6523,1.11437,0.65028,1.02781,0.00208,0.00208,0.00208
82,29242,0.73484,0.38301,0.8594,0.89466,0.81927,0.91731,0.65233,1.11383,0.64923,1.02785,0.001981,0.001981,0.001981
83,29632.1,0.73285,0.38162,0.85966,0.89306,0.82109,0.91716,0.65258,1.11371,0.65011,1.02789,0.001882,0.001882,0.001882
84,30016.1,0.73177,0.38066,0.8592,0.89338,0.82054,0.91726,0.65272,1.11381,0.6501,1.02814,0.001783,0.001783,0.001783
85,30338.4,0.72729,0.37821,0.85919,0.89548,0.81941,0.91731,0.65251,1.11389,0.64983,1.02843,0.001684,0.001684,0.001684
86,30679.3,0.72602,0.37815,0.85778,0.89616,0.82031,0.91732,0.65249,1.11443,0.64913,1.0291,0.001585,0.001585,0.001585
87,31025.6,0.72567,0.37781,0.85934,0.89929,0.8179,0.91709,0.65214,1.11529,0.64923,1.02961,0.001486,0.001486,0.001486
88,31355.4,0.72306,0.37577,0.8575,0.89819,0.81954,0.91693,0.65211,1.11594,0.6489,1.02996,0.001387,0.001387,0.001387
89,31689.2,0.71965,0.37396,0.85783,0.90669,0.8124,0.91716,0.65228,1.11626,0.64863,1.03031,0.001288,0.001288,0.001288
90,32010.8,0.71327,0.37045,0.85698,0.90579,0.8144,0.91749,0.65219,1.11662,0.64767,1.03084,0.001189,0.001189,0.001189
91,32326.4,0.67019,0.34951,0.85257,0.90631,0.81345,0.91713,0.65193,1.11788,0.64875,1.03169,0.00109,0.00109,0.00109
92,32633.4,0.65997,0.34417,0.8501,0.90555,0.81456,0.91704,0.65157,1.11914,0.65025,1.03272,0.000991,0.000991,0.000991
93,32941.2,0.65435,0.34204,0.8489,0.90807,0.81249,0.91687,0.65133,1.12051,0.65096,1.03404,0.000892,0.000892,0.000892
94,33249.9,0.64971,0.34029,0.84731,0.90505,0.81499,0.91669,0.65113,1.12176,0.65239,1.03517,0.000793,0.000793,0.000793
95,33556.3,0.6462,0.33819,0.84727,0.90329,0.81567,0.91639,0.65075,1.12306,0.65389,1.03632,0.000694,0.000694,0.000694
96,33865.7,0.6415,0.33542,0.84619,0.90329,0.81586,0.91601,0.65039,1.12405,0.65567,1.03725,0.000595,0.000595,0.000595
97,34171.1,0.63786,0.33421,0.84586,0.90348,0.81486,0.91537,0.65004,1.12536,0.65806,1.0382,0.000496,0.000496,0.000496
98,34474.4,0.63575,0.33248,0.84449,0.90208,0.81494,0.9149,0.64971,1.1266,0.65967,1.03906,0.000397,0.000397,0.000397
99,34783.2,0.63083,0.33087,0.844,0.90483,0.81304,0.91445,0.64931,1.12767,0.66117,1.0398,0.000298,0.000298,0.000298
100,35087.8,0.62858,0.32943,0.84229,0.9052,0.81217,0.91399,0.64883,1.12871,0.66295,1.04061,0.000199,0.000199,0.000199
