epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,486.481,1.31857,1.14818,1.00777,0.85837,0.81017,0.90241,0.62652,1.06816,0.83376,0.96628,0.00332861,0.00332861,0.00332861
2,869.648,1.26526,0.82849,0.98241,0.86178,0.85283,0.9223,0.62152,1.09849,0.76467,0.99225,0.00659599,0.00659599,0.00659599
3,1242.52,1.26509,0.77912,0.9853,0.85608,0.83086,0.90932,0.61409,1.13369,0.76198,0.99547,0.00979737,0.00979737,0.00979737
4,1615.52,1.22227,0.72043,0.9768,0.88698,0.82495,0.9186,0.63029,1.09387,0.71448,0.98943,0.009703,0.009703,0.009703
5,1959.29,1.16534,0.66429,0.96235,0.89117,0.82445,0.9219,0.63559,1.08775,0.68928,0.99372,0.009604,0.009604,0.009604
6,2309.2,1.12748,0.63177,0.95253,0.83558,0.80881,0.90129,0.63006,1.08188,0.74181,0.99167,0.009505,0.009505,0.009505
7,2684.89,1.10003,0.60954,0.94478,0.87881,0.83499,0.91743,0.63876,1.09274,0.68739,0.99203,0.009406,0.009406,0.009406
8,3036.71,1.0789,0.59337,0.93958,0.87336,0.82226,0.92225,0.64935,1.08526,0.64385,0.99819,0.009307,0.009307,0.009307
9,3379.04,1.05661,0.57908,0.93309,0.8781,0.83862,0.92981,0.6553,1.06616,0.62708,0.9895,0.009208,0.009208,0.009208
10,3736.5,1.03938,0.56653,0.92883,0.87225,0.82986,0.92163,0.64874,1.08453,0.65336,0.98771,0.009109,0.009109,0.009109
11,4116.75,1.02347,0.55409,0.92464,0.88184,0.81908,0.91148,0.6385,1.08645,0.67984,0.99399,0.00901,0.00901,0.00901
12,4482.75,1.00979,0.54555,0.92176,0.88752,0.8394,0.9261,0.64754,1.09836,0.63167,1.00466,0.008911,0.008911,0.008911
13,4846.1,0.99524,0.53647,0.91931,0.90069,0.83463,0.92548,0.65053,1.09899,0.64653,0.99888,0.008812,0.008812,0.008812
14,5235.29,0.98821,0.53127,0.91712,0.88741,0.83527,0.91953,0.64946,1.08439,0.68137,0.99168,0.008713,0.008713,0.008713
15,5587.59,0.97631,0.5233,0.91398,0.90217,0.83417,0.92288,0.65661,1.08148,0.66312,0.99666,0.008614,0.008614,0.008614
16,5941.37,0.96508,0.51788,0.91156,0.89416,0.82332,0.91769,0.64457,1.09206,0.68584,1.00412,0.008515,0.008515,0.008515
17,6289.53,0.95877,0.51198,0.91011,0.89775,0.8485,0.93058,0.66017,1.07941,0.62799,1.0002,0.008416,0.008416,0.008416
18,6640.55,0.95162,0.50704,0.90809,0.90037,0.82322,0.92447,0.65211,1.08705,0.68047,1.01125,0.008317,0.008317,0.008317
19,6993.85,0.94199,0.50202,0.90419,0.8866,0.83581,0.92106,0.64986,1.08741,0.67649,1.00611,0.008218,0.008218,0.008218
20,7372.06,0.93509,0.4976,0.90378,0.88584,0.80735,0.91344,0.64365,1.09291,0.68985,0.99897,0.008119,0.008119,0.008119
21,7733.77,0.92836,0.49356,0.90272,0.88884,0.81836,0.91991,0.65126,1.09309,0.67811,1.0087,0.00802,0.00802,0.00802
22,8085.92,0.922,0.48961,0.90084,0.89487,0.81411,0.9108,0.64685,1.08917,0.72209,1.00072,0.007921,0.007921,0.007921
23,8440.89,0.91435,0.48517,0.89838,0.90575,0.83186,0.9247,0.65484,1.08338,0.65893,1.00442,0.007822,0.007822,0.007822
24,8792.49,0.90829,0.48184,0.89748,0.90599,0.8169,0.91477,0.65236,1.07309,0.7003,0.99481,0.007723,0.007723,0.007723
25,9128.77,0.90388,0.4779,0.89583,0.90332,0.83589,0.92688,0.65208,1.10125,0.65376,1.00784,0.007624,0.007624,0.007624
26,9627.25,0.89973,0.47522,0.89504,0.89767,0.81613,0.91289,0.64537,1.09953,0.70191,1.01035,0.007525,0.007525,0.007525
27,9990.49,0.89668,0.47477,0.89469,0.90679,0.82344,0.91837,0.65306,1.08054,0.67293,1.00159,0.007426,0.007426,0.007426
28,10332.3,0.89453,0.47305,0.89496,0.89283,0.80887,0.91256,0.65046,1.09148,0.69122,1.00666,0.007327,0.007327,0.007327
29,10662.4,0.88738,0.46776,0.89243,0.88944,0.8149,0.91789,0.65092,1.08737,0.65547,1.00111,0.007228,0.007228,0.007228
30,10996.9,0.87959,0.46483,0.89087,0.88311,0.80324,0.91173,0.64386,1.10293,0.67717,1.00974,0.007129,0.007129,0.007129
31,11342.1,0.87668,0.46239,0.88978,0.89947,0.81262,0.91325,0.64575,1.09584,0.65303,1.00844,0.00703,0.00703,0.00703
32,11681,0.87384,0.4612,0.88955,0.87569,0.8159,0.91461,0.65114,1.08348,0.65705,1.00129,0.006931,0.006931,0.006931
33,12031.3,0.87004,0.45859,0.88911,0.91213,0.82645,0.9264,0.6583,1.09369,0.63146,1.007,0.006832,0.006832,0.006832
34,12372.8,0.86392,0.45491,0.88733,0.90152,0.82556,0.92325,0.65489,1.09082,0.63438,1.00426,0.006733,0.006733,0.006733
35,12704.3,0.8601,0.45212,0.88781,0.89162,0.81525,0.91304,0.6499,1.10203,0.67643,1.00889,0.006634,0.006634,0.006634
36,13046.3,0.85653,0.45001,0.88512,0.90194,0.81032,0.91514,0.64915,1.10732,0.65948,1.00763,0.006535,0.006535,0.006535
37,13376.8,0.85575,0.45035,0.88559,0.90974,0.81376,0.91666,0.65287,1.08859,0.66707,1.00795,0.006436,0.006436,0.006436
38,13707.3,0.85268,0.4491,0.88498,0.89206,0.81411,0.91835,0.6506,1.09792,0.64912,1.01221,0.006337,0.006337,0.006337
39,14046.8,0.84551,0.44468,0.88387,0.89464,0.80481,0.91152,0.64684,1.10353,0.67914,1.00997,0.006238,0.006238,0.006238
40,14373.8,0.84707,0.44455,0.88371,0.90053,0.81193,0.91685,0.64988,1.09063,0.67234,1.00467,0.006139,0.006139,0.006139
41,14722.9,0.84437,0.44216,0.8827,0.90702,0.80276,0.9122,0.64736,1.09791,0.67088,1.00732,0.00604,0.00604,0.00604
42,15066.5,0.8354,0.43823,0.88148,0.9072,0.80964,0.91863,0.65162,1.09635,0.65551,1.00965,0.005941,0.005941,0.005941
43,15411.9,0.83494,0.43651,0.8809,0.90202,0.8044,0.91463,0.64815,1.10706,0.66507,1.01726,0.005842,0.005842,0.005842
44,15739.8,0.8329,0.43671,0.88082,0.91065,0.8052,0.91333,0.64787,1.10037,0.67492,1.0184,0.005743,0.005743,0.005743
45,16074.2,0.83025,0.43502,0.87971,0.89918,0.8124,0.91755,0.65078,1.10611,0.65966,1.01955,0.005644,0.005644,0.005644
46,16404.7,0.82683,0.43263,0.87854,0.91062,0.80981,0.9196,0.6518,1.10698,0.66442,1.01223,0.005545,0.005545,0.005545
47,16744.8,0.82361,0.43073,0.87873,0.89326,0.80608,0.91603,0.65092,1.10087,0.65434,1.01553,0.005446,0.005446,0.005446
48,17088.1,0.8198,0.43016,0.8781,0.89454,0.81549,0.91922,0.651,1.10935,0.65392,1.01929,0.005347,0.005347,0.005347
49,17425.3,0.81842,0.42813,0.87702,0.89484,0.81075,0.91465,0.6512,1.0986,0.66826,1.0116,0.005248,0.005248,0.005248
50,17782.1,0.81335,0.42507,0.87708,0.89612,0.81879,0.92054,0.65617,1.09885,0.64787,1.01261,0.005149,0.005149,0.005149
51,18163.5,0.81192,0.42428,0.87676,0.91172,0.81258,0.92046,0.65392,1.10205,0.64727,1.01367,0.00505,0.00505,0.00505
52,18561,0.80794,0.42194,0.87582,0.90715,0.80558,0.91895,0.65231,1.1024,0.64762,1.01505,0.004951,0.004951,0.004951
53,18964.3,0.80479,0.42074,0.87523,0.90992,0.80632,0.91904,0.65282,1.10366,0.64851,1.0162,0.004852,0.004852,0.004852
54,19361.2,0.80303,0.41984,0.87432,0.90956,0.8151,0.92222,0.65521,1.09941,0.64659,1.01476,0.004753,0.004753,0.004753
55,19692.2,0.8017,0.4179,0.87523,0.90028,0.81145,0.91743,0.65365,1.09621,0.65658,1.01374,0.004654,0.004654,0.004654
56,20027.4,0.8002,0.41716,0.87289,0.89676,0.81872,0.91876,0.65407,1.09743,0.65129,1.01449,0.004555,0.004555,0.004555
57,20363.7,0.79602,0.41595,0.87372,0.89461,0.81453,0.91846,0.65337,1.09801,0.64981,1.016,0.004456,0.004456,0.004456
58,20701.4,0.7943,0.41536,0.87237,0.88647,0.82013,0.91794,0.65305,1.09972,0.64995,1.0196,0.004357,0.004357,0.004357
59,21030,0.79246,0.41378,0.87221,0.87692,0.82228,0.91314,0.64968,1.10574,0.6585,1.02047,0.004258,0.004258,0.004258
60,21370.6,0.79022,0.41227,0.87155,0.88546,0.82053,0.91248,0.64925,1.10735,0.65974,1.02067,0.004159,0.004159,0.004159
61,21700.8,0.78818,0.41029,0.87154,0.89113,0.81426,0.91226,0.64937,1.10881,0.66674,1.02031,0.00406,0.00406,0.00406
62,22030.1,0.78364,0.40887,0.86955,0.88893,0.80981,0.91215,0.64777,1.11176,0.66878,1.02394,0.003961,0.003961,0.003961
63,22359.6,0.78114,0.40718,0.86994,0.89364,0.80822,0.91041,0.64576,1.116,0.67094,1.02669,0.003862,0.003862,0.003862
