epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,476.034,1.26057,0.96117,0.982,0.87336,0.80473,0.90502,0.62032,1.10392,0.75244,0.98359,0.000665721,0.000665721,0.000665721
2,874.175,1.15683,0.68287,0.95938,0.86793,0.82026,0.91812,0.628,1.12228,0.68355,0.9915,0.00126643,0.00126643,0.00126643
3,1259.35,1.12279,0.63515,0.95178,0.87875,0.84434,0.92875,0.63016,1.12869,0.67049,0.99522,0.00180115,0.00180115,0.00180115
