epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,593.86,1.26057,0.96117,0.982,0.87336,0.80473,0.90502,0.62032,1.10392,0.75244,0.98359,0.000665721,0.000665721,0.000665721
2,948.919,1.16318,0.68443,0.96073,0.86974,0.84113,0.92088,0.62671,1.1307,0.68642,0.99651,0.00130601,0.00130601,0.00130601
3,1281.03,1.12387,0.63901,0.95227,0.86179,0.81281,0.91294,0.62119,1.12825,0.71553,1.00033,0.00191989,0.00191989,0.00191989
4,1646.47,1.09395,0.6099,0.94384,0.86389,0.84908,0.92532,0.64256,1.10861,0.6542,0.98746,0.0018812,0.0018812,0.0018812
5,1982.69,1.06581,0.58383,0.93608,0.88541,0.86195,0.93748,0.66778,1.06087,0.61106,0.97504,0.0018416,0.0018416,0.0018416
6,2323.05,1.04285,0.56693,0.93098,0.87075,0.83331,0.91924,0.64609,1.09325,0.67323,0.99298,0.001802,0.001802,0.001802
7,2675.77,1.02417,0.55397,0.92585,0.89016,0.84654,0.92577,0.65492,1.08156,0.63609,0.98937,0.0017624,0.0017624,0.0017624
8,3008.55,1.00886,0.54222,0.92133,0.88201,0.8524,0.93335,0.66209,1.07838,0.62424,0.98792,0.0017228,0.0017228,0.0017228
9,3333.56,0.99333,0.53347,0.91804,0.88977,0.84999,0.92962,0.65972,1.07559,0.63894,0.98778,0.0016832,0.0016832,0.0016832
10,3683.83,0.97843,0.52252,0.91429,0.8897,0.84074,0.93059,0.65479,1.09178,0.62394,0.98718,0.0016436,0.0016436,0.0016436
11,4050.96,0.96477,0.51267,0.91076,0.86244,0.85495,0.92927,0.65756,1.08616,0.61336,0.994,0.001604,0.001604,0.001604
12,4379.59,0.95503,0.50644,0.90944,0.86927,0.84836,0.92615,0.65525,1.07784,0.63704,0.98658,0.0015644,0.0015644,0.0015644
13,4717.73,0.9414,0.49806,0.90622,0.89293,0.86165,0.9325,0.65599,1.09974,0.61662,1.00653,0.0015248,0.0015248,0.0015248
14,5046.04,0.93877,0.49659,0.90539,0.87842,0.86422,0.93685,0.6627,1.07587,0.61151,0.9829,0.0014852,0.0014852,0.0014852
15,5372.32,0.9256,0.48827,0.90184,0.88953,0.83104,0.92359,0.65411,1.07709,0.6302,0.99018,0.0014456,0.0014456,0.0014456
16,5700.31,0.91603,0.48146,0.89884,0.89976,0.80014,0.91053,0.64982,1.06977,0.67815,0.98655,0.001406,0.001406,0.001406
17,6037.05,0.91203,0.47813,0.89981,0.89331,0.83163,0.92496,0.65452,1.0936,0.63455,1.00056,0.0013664,0.0013664,0.0013664
18,6380.53,0.90484,0.47206,0.89681,0.87356,0.82877,0.91919,0.65512,1.08352,0.67296,0.99813,0.0013268,0.0013268,0.0013268
19,6722.53,0.89654,0.46851,0.89426,0.89246,0.84917,0.93435,0.66283,1.09117,0.62426,1.00195,0.0012872,0.0012872,0.0012872
20,7058.61,0.8896,0.46344,0.89402,0.86296,0.81781,0.91043,0.64784,1.09972,0.68204,1.00424,0.0012476,0.0012476,0.0012476
21,7383.58,0.88023,0.45853,0.89189,0.8911,0.83008,0.92075,0.64871,1.11124,0.65979,1.01029,0.001208,0.001208,0.001208
22,7720.37,0.87717,0.45699,0.8913,0.87802,0.82976,0.91598,0.64878,1.08958,0.64561,1.00292,0.0011684,0.0011684,0.0011684
23,8053.75,0.87024,0.45247,0.88864,0.89329,0.83258,0.91884,0.65366,1.09303,0.65172,1.00814,0.0011288,0.0011288,0.0011288
24,8385.72,0.86499,0.44902,0.88815,0.89053,0.83495,0.91722,0.64974,1.10018,0.65066,1.00221,0.0010892,0.0010892,0.0010892
25,8726.06,0.85953,0.44473,0.88663,0.89029,0.82708,0.91456,0.64714,1.10432,0.66725,1.00506,0.0010496,0.0010496,0.0010496
26,9056.53,0.85631,0.44326,0.88596,0.88967,0.82426,0.9142,0.64986,1.10312,0.66211,1.00922,0.00101,0.00101,0.00101
27,9385.02,0.85328,0.44189,0.88538,0.8856,0.82949,0.91518,0.65136,1.11066,0.66928,1.01209,0.0009704,0.0009704,0.0009704
